"","pubname","publisher","X_gddid","title","doi","coverDate","URL","authors","highlight","filename","coveryear"
"13","Zoo Biology","Wiley","572480ffcf58f10d61e5b1b2","Strategic collection planning: Theory and practice","10.1002/zoo.1430140103","1995","http://doi.wiley.com/10.1002/zoo.1430140103","Hutchins, Michael; Willis, Kevin; Wiese, Robert J.","PARROTS: AN ACTION PLAN FOR THEIR CONSERVATION AND MANAGEMENT. ICBP Parrot Specialist","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""management+of+parrot"".txt",1995
"14","Fisheries Management and Ecology","Wiley","57177207cf58f1605db2c970","The effect of a closed area and beach seine exclusion on coral reef fish catches","10.1046/j.1365-2400.2001.00239.x","April 2001","http://doi.wiley.com/10.1046/j.1365-2400.2001.00239.x","McClanahan, T. R.; Mangi, S.","sample size for beach seines collected before the management changed. Parrot®shes","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""management+of+parrot"".txt",2001
"15","Avian Pathology","Taylor and Francis","5966950dcf58f17674658477","A novel herpesvirus associated with respiratory disease in Bourke's parrots ( Neopsephotus bourkii )","10.1080/03079457.2012.732692","2012 12","http://www.tandfonline.com/doi/abs/10.1080/03079457.2012.732692","Shivaprasad, H. L.; Phalen, D. N.","by the international trade in parrots, and in the management of parrot species","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""management+of+parrot"".txt",2012
"16","Journal of Field Ornithology","Wiley","5c4deae31faed65548940219","Avian research in the Caribbean: past contributions and current priorities","10.1111/j.1557-9263.2012.00361.x","2012 06","http://doi.wiley.com/10.1111/j.1557-9263.2012.00361.x","Latta, Steven C.","had particular signiﬁcance for threatened species management, especially parrot","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""management+of+parrot"".txt",2012
"17","Security and Privacy","Wiley","5d154b190b45c76caf905931","A review and an empirical analysis of privacy policy and notices for consumer Internet of things","10.1002/spy2.15","","http://doi.wiley.com/10.1002/spy2.15","Perez, Alfredo J.; Zeadally, Sherali; Cochran, Jonathan","Cycles  loudspeaker, horn  Transportation, leisure, fitness management  Drone  Parrot Bebop,","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""management+of+parrot"".txt",NA
"18","Applied Animal Behaviour Science","Elsevier","5882d5d3cf58f1a870de0afd","Preferences of Orange-winged Amazon parrots (Amazona amazonica) for cage enrichment devices","10.1016/j.applanim.2009.06.006","September 2009","http://www.sciencedirect.com/science/article/pii/S0168159109001932","Kim, Lilian C.; Garner, Joseph P.; Millam, James R.","research was conducted to gain insight into captive parrot management. A better","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""parrot+management"".txt",2009
"19","Forest Ecology and Management","Elsevier","577bdd96cf58f15852172d03","Ecological rhythms and the management of humid tropical forests Examples from the Caribbean National Forest, Puerto Rico","10.1016/S0378-1127(01)00515-1","1 December 2001","http://www.sciencedirect.com/science/article/pii/S0378112701005151","Scatena, F.N","resource management plan, Appendix F. Puerto Rican Parrot Management Situation.","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""parrot+management"".txt",2001
"20","Ecological Economics","Elsevier","579dc64bcf58f170d206855d","An economic assessment of the potential for predator management to benefit Puerto Rican parrots","10.1016/S0921-8009(03)00143-5","September 2003","http://www.sciencedirect.com/science/article/pii/S0921800903001435","Engeman, Richard M.; Shwiff, Stephanie A.; Cano, Felipe; Constantin, Bernice","the biologist at the RA site were to be shared with parrot management duties, then","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""parrot+management"".txt",2003
"21","Emu - Austral Ornithology","Taylor and Francis","5e18d844998e17af825a593b","Ground Parrots and fire in east Gippsland, Victoria: habitat occupancy modelling from automated sound recordings","10.1071/MU16014","2016 12","https://www.tandfonline.com/doi/full/10.1071/MU16014","Bluff, Lucas A.","the preceding landscape state. Clearly, if Ground Parrot management strategies","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""parrot+management"".txt",2016
"22","African Journal of Ecology","Wiley","590084f5cf58f14c20d276a5","Spatial and seasonal variation in abundance within an insular grey parrot population","10.1111/aje.12367","2017 02","http://doi.wiley.com/10.1111/aje.12367","Valle, Simon; Collar, Nigel J.; Harris, W. Edwin; Marsden, Stuart J.","the same season (Marsden & Pilgrim, 2003). Second, parrot management plans need","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""parrot+management"".txt",2017
"23","International Zoo Yearbook","Wiley","57227dd5cf58f1b6e6b8f44b","Situation-dependant management of large parrots by manipulation of the social environment","10.1111/j.1748-1090.2000.tb00729.x","January 2000","http://doi.wiley.com/10.1111/j.1748-1090.2000.tb00729.x","KING, C. E.","successful experiences.  The ultimate goal of large-parrot management at Rotterdam","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""parrot+management"".txt",2000
"24","International Zoo Yearbook","Wiley","57226e1dcf58f1b065d1689c","Management of the Double-eyed or Red-browed fig parrot Cyclopsitta diophthalma macleayana at Currumbin Sanctuary, Queensland","10.1111/j.1748-1090.2000.tb00716.x","January 2000","http://doi.wiley.com/10.1111/j.1748-1090.2000.tb00716.x","ROMER, L.","Australia. Three   CURRUMBIN SANCTUARY. RED-RROWED FIG PARROT MANAGEMENT  153  Australian","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""parrot+management"".txt",2000
"25","Biological Conservation","Elsevier","57a995bdcf58f1236fa075a6","General management principles and a checklist of strategies to guide forest biodiversity conservation","10.1016/j.biocon.2006.02.019","August 2006","http://www.sciencedirect.com/science/article/pii/S0006320706000814","Lindenmayer, D.B.; Franklin, J.F.; Fischer, J.","Management strategies for particular species (e.g. Swift Parrot) Control strategies for","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/parrot+control.txt",2006
"26","Animal Behaviour","Elsevier","5b525d86cf58f1a50a4643fc","Reed warblers discriminate cuckoos from sparrowhawks with graded alarm signals that attract mates and neighbours","10.1016/j.anbehav.2008.03.020","September 2008","https://www.sciencedirect.com/science/article/pii/S0003347208002170","Welbergen, J.A.; Davies, N.B.","(a) 2.4  2  1.6  1.2 Model type Playback  Cuckoo Parrot Control  3 (b) 3  Cuckoo","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/parrot+control.txt",2008
"27","Applied Animal Behaviour Science","Elsevier","5b7afab0cf58f1729dc89c74","Foraging ‘enrichment’ as treatment for pterotillomania","10.1016/j.applanim.2007.05.015","May 2008","https://www.sciencedirect.com/science/article/pii/S0168159107001669","Lumeij, Johannes T.; Hommers, Caroline J.","and the control period in parrots from group 2a  Parrot #  Control period  Pipe","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/parrot+control.txt",2008
